HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
1,KİRAZLITEPE - ACIBADEM - KADIKÖY,1/KİRAZLITEPE - ACIBADEM - KADIKÖY,1,Anadolu1,47.29
10,Ü.EĞT.ARŞ.HASTANESİ - ATAŞEHİR / BOSTANCI,10/Ü.EĞT.ARŞ.HASTANESİ - ATAŞEHİR / BOSTANCI,1,Anadolu1,87.44
10A,ESATPAŞA - YEDİTEPE ÜNİVERSİTESİ / FERHATPAŞA,10A/ESATPAŞA - YEDİTEPE ÜNİVERSİTESİ / FERHATPAŞA,1,Anadolu1,88.03
10B,BOSTANCI - KADIKÖY,10B/BOSTANCI - KADIKÖY,1,Anadolu1,53.09
10E,ESATPAŞA - KADIKÖY,10E/ESATPAŞA - KADIKÖY,1,Anadolu1,57.64
10G,ÜMRANİYE / ESATPAŞA - SÖĞÜTLÜÇEŞME METROBÜS,10G/ÜMRANİYE / ESATPAŞA - SÖĞÜTLÜÇEŞME METROBÜS,1,Anadolu1,76.17
11,YENİDOĞAN - ALTUNİZADE METROBÜS,11/YENİDOĞAN - ALTUNİZADE METROBÜS,1,Anadolu2,105.07
11A,ALEMDAĞ - ALTUNİZADE METROBÜS,11A/ALEMDAĞ - ALTUNİZADE METROBÜS,1,Anadolu2,193.97
11BE,BURHANİYE MAHALLESİ - ÜSKÜDAR,11BE/BURHANİYE MAHALLESİ - ÜSKÜDAR,1,Anadolu1,56.76
11C,EMNİYET MAHALLESİ - ÜSKÜDAR,11C/EMNİYET MAHALLESİ - ÜSKÜDAR,1,Anadolu1,54.41
11ÇB,KAVACIK / ÇAVUŞBAŞI - ÜMRANİYE,11ÇB/KAVACIK / ÇAVUŞBAŞI - ÜMRANİYE,1,Anadolu1,124.12
11CÜ,EMNİYET MAHALLESİ- ÜMRANİYE METRO/RİNG,11CÜ/EMNİYET MAHALLESİ- ÜMRANİYE METRO/RİNG,1,Anadolu1,43.4
11D,İNKILAP MAHALLESİ - ÜSKÜDAR,11D/İNKILAP MAHALLESİ - ÜSKÜDAR,1,Anadolu1,79.53
11E,ESATPAŞA - ÜSKÜDAR ,11E/ESATPAŞA - ÜSKÜDAR,1,Anadolu1,69.79
11ES,ESENEVLER - ACIBADEM METROBÜS / ÜSKÜDAR,11ES/ESENEVLER - ACIBADEM METROBÜS / ÜSKÜDAR,1,Anadolu1,68.54
11G,YENİDOĞAN - NECİP FAZIL METRO,11G/YENİDOĞAN - NECİP FAZIL METRO,1,Anadolu2,61.05
11H,ORTAÇEŞME - ÜMRANİYE,11H/ORTAÇEŞME - ÜMRANİYE,1,Anadolu1,130.47
11K,KAZIM KARABEKİR MAHALLESİ - ÜSKÜDAR,11K/KAZIM KARABEKİR MAHALLESİ - ÜSKÜDAR,1,Anadolu1,79.92
11L,ESATPAŞA / BULGURLU - ÜSKÜDAR ,11L/ESATPAŞA / BULGURLU - ÜSKÜDAR,1,Anadolu1,58.37
11M,MUSTAFA KEMAL MAHALLESİ - ÜSKÜDAR,11M/MUSTAFA KEMAL MAHALLESİ - ÜSKÜDAR,1,Anadolu1,98.6
11N,ESENEVLER - ÜSKÜDAR ,11N/ESENEVLER - ÜSKÜDAR,1,Anadolu1,58.05
11P,EMEK MAHALLESİ - ÜSKÜDAR ,11P/EMEK MAHALLESİ - ÜSKÜDAR,1,Anadolu2,128.41
11R,REŞADİYE - NECİP FAZIL METRO,11R/REŞADİYE - NECİP FAZIL METRO,1,Anadolu2,80.88
11SA,UĞUR MUMCU / SAMANDIRA - NECİP FAZIL METRO,11SA/UĞUR MUMCU / SAMANDIRA - NECİP FAZIL METRO,1,Anadolu2,88.95
11ST,DUMLUPINAR - ÜSKÜDAR ,11ST/DUMLUPINAR - ÜSKÜDAR,1,Anadolu1,78.42
11T,TÜRKİŞ BLOKLARI - HAREM,11T/TÜRKİŞ BLOKLARI - HAREM,1,Anadolu1,108.19
11Ü,ESATPAŞA / ÜNALAN - ÜSKÜDAR ,11Ü/ESATPAŞA / ÜNALAN - ÜSKÜDAR,1,Anadolu1,69.05
11ÜS,SULTANBEYLİ - ÜSKÜDAR ,11ÜS/SULTANBEYLİ - ÜSKÜDAR,1,Anadolu2,168.08
11V,VEYSEL KARANİ - ALTUNİZADE METROBÜS ,11V/VEYSEL KARANİ - ALTUNİZADE METROBÜS,1,Anadolu2,129.33
11Y,YAVUZTÜRK MAHALLESİ - ÜSKÜDAR,11Y/YAVUZTÜRK MAHALLESİ - ÜSKÜDAR,1,Anadolu1,59.15
12,KADIKÖY - ÜSKÜDAR,12/KADIKÖY - ÜSKÜDAR,1,Anadolu1,23.24
121A,BEYKOZ - MECİDİYEKÖY,121A/BEYKOZ - MECİDİYEKÖY,1,Anadolu1,123.94
121B,KAVACIK - MECİDİYEKÖY,121B/KAVACIK - MECİDİYEKÖY,1,Anadolu1,60.42
121BS,SULTANİYE / SOĞUKSU MAHALLESİ - MECİDİYEKÖY,121BS/SULTANİYE / SOĞUKSU MAHALLESİ - MECİDİYEKÖY,1,Anadolu1,94.1
122C,TEPEÜSTÜ - MECİDİYEKÖY,122C/TEPEÜSTÜ - MECİDİYEKÖY,1,Anadolu1,100.25
122ÇK,ŞAHİNBEY - KAVACIK,122ÇK/ŞAHİNBEY - KAVACIK,1,Anadolu2,90.82
122D,ATATÜRK MAHALLESİ - MECİDİYEKÖY,122D/ATATÜRK MAHALLESİ - MECİDİYEKÖY,1,Anadolu2,159.11
122H,S.GÖKÇEN HAVALİMANI / YENİŞEHİR - 4.LEVENT METRO,122H/S.GÖKÇEN HAVALİMANI / YENİŞEHİR - 4.LEVENT METRO,1,Anadolu2,244.15
122M,ŞAHİNBEY - MECİDİYEKÖY,122M/ŞAHİNBEY - MECİDİYEKÖY,1,Anadolu2,139.09
