Column1,SDURAKKODU,SDURAKADI,lon,lat,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM,28.99386488,41.03851705
1,100001,RIFAT ILGAZ CADDESİ,28.684353,41.01917,Esenyurt,AVCILAR,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil,27.9992239998047 41.0948349991083),
2,100002,RIFAT ILGAZ CADDESİ,28.68466,41.019047,Esenyurt,BOGAZKÖY,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil,27.9993279998048 41.0950089991084),
3,100011,UZUNYAYLA,28.688629,41.010454,Esenyurt,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun,28.0016859998066 41.0970339991083),
4,100012,UZUNYAYLA,28.688751,41.010675,Esenyurt,BOGAZKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0021162614193 41.0972543820986),
5,100021,OKTAY RIFAT CADDESİ,28.695276,41.004524,Esenyurt,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0056089998095 41.0988509991084),
6,100022,OKTAY RIFAT CADDESİ,28.695235,41.004605,Esenyurt,BOGAZKÖY,YOK,AÇIK,AÇIK DURAK,Uygun Degil,28.0066480220241 41.098082981065),
7,100032,SEBAHATTİN ZAİM İLKOKULU,28.699124,41.004503,Esenyurt,BOGAZKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0100736640534 41.0990406094788),
8,100041,EĞİTİM UYGULAMA OKULU,28.702161,41.00291,Avcilar,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0102359787988 41.0891800367859),
9,100042,EĞİTİM UYGULAMA OKULU,28.702001,41.002879,Avcilar,BOGAZKÖY,YOK,AÇIK,İETTBAYRAK,Uygun,28.0103016815391 41.098872977835),
10,100051,MUSTAFA KEMALPAŞA CAMİİ,28.705037,41.001128,Avcilar,AVCILAR,YOK,KAPALI,CCMODERNDR,Uygun Degil,28.0103639602569 41.0895910080231),
11,100052,MUSTAFA KEMALPAŞA CAMİİ,28.704957,41.001272,Avcilar,BOGAZKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0147299715501 41.0966179714116),
12,100061,İSTİKLAL CADDESİ,28.708683,40.999033,Avcilar,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0149280400284 41.0962940350214),
13,100062,İSTİKLAL CADDESİ,28.708734,40.999132,Avcilar,BOGAZKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0205550211477 41.0941520175671),
14,100071,YEŞİLTEPE,28.703948,41.036165,Avcilar,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0206179677226 41.09423000647),
15,100072,YEŞİLTEPE,28.703882,41.036093,Avcilar,FIRUZKÖY,YOK,AÇIK,AÇIK DURAK,Uygun Degil,28.0209870314787 41.08755803312),
16,100081,19 MAYIS CADDESİ,28.672387,40.993851,Beylikdüzü,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0214499624143 41.0870879727315),
17,100082,19 MAYIS CADDESİ,28.672242,40.993694,Beylikdüzü,I.MARMARA EVLERI,YOK,AÇIK,İETTBAYRAK,Uygun,28.0245056349459 41.0964792943965),
18,100091,AKASYA ,28.675987,40.986466,Beylikdüzü,AVCILAR,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil,28.0246449995915 41.0963982517606),
19,100092,AKASYA ,28.675863,40.986391,Beylikdüzü,I.MARMARA EVLERI,YOK,AÇIK,İETTBAYRAK,Uygun,28.0362939997654 41.0500800005552),
20,100101,GÜZELYAYLA,28.680248,40.987234,Beylikdüzü,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0369269996148 41.0485909991008),
21,100102,GÜZELYAYLA,28.680126,40.987148,Beylikdüzü,I.MARMARA EVLERI,YOK,AÇIK,İETTBAYRAK,Uygun,28.0396219998338 41.0522339991101),
22,100111,BARBAROS CADDESİ ,28.681222,40.983324,Beylikdüzü,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,28.0412269997693 41.0471880005548),
