HATKODU,YON,SIRANO,DURAKKODU,XKOORDINATI,YKOORDINATI,YON,SEFER_SURESI
1,D,1,412031,29.023641,40.995281,0,47.29
1,D,2,225541,29.026355,40.996987,0,87.44
1,D,3,208652,29.033058,40.997606,0,88.03
1,D,4,205532,29.036521,40.997041,0,53.09
1,D,5,205911,29.037914,40.998617,0,57.64
1,D,6,205542,29.039282,41.000137,0,76.17
1,D,7,205552,29.041461,41.001721,0,59.63
1,D,8,205562,29.044333,41.003773,0,105.07
1,D,9,205572,29.046213,41.005593,0,193.97
1,D,10,207042,29.048396,41.007074,0,56.76
1,D,11,205582,29.050188,41.00841,0,54.41
1,D,12,205592,29.051656,41.010213,0,124.12
1,D,13,205602,29.052813,41.011534,0,43.4
1,D,14,205612,29.056091,41.014809,0,79.53
1,D,15,216792,29.057991,41.016786,0,69.79
1,D,16,216632,29.060407,41.01872,0,39.55
1,D,17,216622,29.064961,41.02093,0,68.54
1,D,18,222122,29.067169,41.021074,0,61.05
1,D,19,223201,29.070093,41.021501,0,130.47
1,D,20,218601,29.066729,41.022037,0,79.92
1,D,21,262452,29.063712,41.022489,0,58.37
1,D,22,203782,29.064571,41.024502,0,98.6
1,D,23,216482,29.06482,41.027099,0,58.05
1,D,24,216472,29.065434,41.032201,0,140.05
1,D,25,216462,29.062867,41.035312,0,128.41
1,D,26,220041,29.060631,41.0374,0,80.88
1,D,27,216372,29.059796,41.039121,0,88.95
1,D,28,216362,29.059606,41.04068,0,78.42
1,D,29,220051,29.06017,41.041917,0,108.19
1,G,1,220051,29.06017,41.041917,1,69.05
1,G,2,216361,29.059905,41.040867,1,168.08
1,G,3,216371,29.059701,41.039311,1,129.33
1,G,4,220042,29.06052,41.037232,1,59.15
1,G,5,216461,29.062931,41.035107,1,23.24
1,G,6,216471,29.065273,41.032214,1,123.94
1,G,7,216481,29.064716,41.027171,1,60.42
1,G,8,203781,29.064471,41.02454,1,94.1
1,G,9,262451,29.06369,41.022589,1,169.99
1,G,10,216621,29.064788,41.021069,1,100.25
1,G,11,216631,29.06051,41.018668,1,90.82
1,G,12,216791,29.057831,41.0168,1,159.11
1,G,13,214995,29.056996,41.015762,1,244.15
1,G,14,205611,29.055349,41.014389,1,139.09
1,G,15,205601,29.052388,41.011325,1,184.4
1,G,16,205591,29.051406,41.010168,1,234.38
1,G,17,205581,29.050052,41.008514,1,81.87
1,G,18,207041,29.04862,41.007318,1,124.54
1,G,19,205571,29.046369,41.006034,1,105.75
1,G,20,205561,29.044172,41.003865,1,35.46
1,G,21,205551,29.041649,41.002076,1,29.81
1,G,22,205541,29.038838,40.999993,1,68.37
1,G,23,205912,29.037681,40.998694,1,169.94
1,G,24,205531,29.036298,40.99712,1,110.24
1,G,25,208651,29.032363,40.997968,1,207.86
1,G,26,215181,29.019815,41.010568,1,201.61
1,G,27,225572,29.021362,41.004975,1,169.03
1,G,28,213701,29.022684,41.00188,1,168.38
1,G,29,412031,29.023641,40.995281,1,204.02
10,D,1,401181,29.094129,40.954977,0,80.83
10,D,2,207311,29.095759,40.955885,0,87.76
10,D,3,229541,29.098006,40.958043,0,126.21
10,D,4,206361,29.100519,40.959991,0,122.15
10,D,5,226782,29.102872,40.961127,0,138.8
10,D,6,226792,29.106118,40.965434,0,121.85
10,D,7,206391,29.107777,40.968339,0,127.73
10,D,8,205702,29.111041,40.969294,0,138.81
10,D,9,226681,29.111294,40.970515,0,32.58
10,D,10,226842,29.113871,40.973333,0,91.81
10,D,11,226852,29.114348,40.976282,0,69.01
10,D,12,213761,29.114173,40.978292,0,113.33
10,D,13,226862,29.113077,40.979517,0,114.37
10,D,14,208352,29.113845,40.981261,0,132.37
10,D,15,210232,29.115002,40.983129,0,110.77
10,D,16,207202,29.115897,40.98343,0,131.75
10,D,17,226882,29.118313,40.983159,0,121.96
10,D,18,226902,29.121051,40.983931,0,138.1
10,D,19,226894,29.122947,40.986504,0,95.5
10,D,20,208482,29.126625,40.990517,0,165.16
10,D,21,205774,29.127823,40.993482,0,113.71
10,D,22,262892,29.129719,40.995642,0,163.63
10,D,23,209181,29.133758,40.996538,0,187.89
10,D,24,209171,29.136461,40.996518,0,139.8
10,D,25,209161,29.138825,40.996105,0,82.21
10,D,26,208492,29.140194,40.998992,0,43.56
10,D,27,203932,29.140161,41.000427,0,83.6
10,D,28,219021,29.140589,41.002684,0,132.03
10,D,29,219031,29.137307,41.004113,0,137.8
10,D,30,218911,29.134338,41.005181,0,136.76
10,D,31,261091,29.131185,41.006564,0,150.86
10,D,32,216132,29.128608,41.007553,0,118.58
10,D,33,214201,29.127819,41.009913,0,135.32
10,D,34,214191,29.128285,41.012648,0,106.95
10,D,35,214181,29.128789,41.01546,0,161.83
10,D,36,214171,29.127993,41.017931,0,74.53
10,D,37,214161,29.124339,41.019847,0,118.67
10,D,38,263301,29.127906,41.021407,0,118.88
10,D,39,217131,29.124644,41.020929,0,120.11
10,D,40,222262,29.121691,41.020909,0,72.48
10,D,41,222252,29.116466,41.022111,0,114.85
10,D,42,200531,29.111512,41.023549,0,111.77
