DURAKKODU,YON,HATKODU,SIRANO
100001,G,142A,36
100001,G,142ES,46
100002,D,142A,18
100002,D,142ES,16
100011,G,142A,39
100011,G,142ES,48
100012,D,142A,15
100012,D,142ES,14
100022,D,142A,11
100022,D,142ES,10
100032,D,142A,10
100032,D,142ES,9
100041,G,142A,43
100041,G,142ES,52
100042,D,142A,9
100042,D,142ES,8
100051,G,142A,44
100051,G,142ES,53
100052,D,142A,8
100052,D,142ES,7
100061,G,142A,45
100061,G,142ES,54
100062,D,142A,7
100062,D,142ES,6
100071,G,142F,2
100072,D,142F,36
100081,G,BM4,37
100082,D,BM4,16
100091,G,BM4,35
100092,D,BM4,18
100101,G,BM4,33
100102,D,BM4,20
100111,G,BM4,32
100112,D,BM4,21
100121,G,BM4,31
100131,G,BM4,30
100141,G,145,7
100141,G,76SM,5
100141,G,76Y,7
100141,G,BM4,14
100142,D,145,30
100142,D,76SM,23
100142,D,76Y,56
100142,D,BM4,38
100151,G,145,8
100151,G,76SM,6
100151,G,76Y,8
100151,G,BM4,15
100152,D,145,29
100152,D,76SM,22
100161,G,76BT,14
100161,G,76TM,14
100162,D,76BT,19
100162,D,76TM,53
100171,G,76BT,13
100171,G,76TM,13
100172,D,76BT,20
100172,D,76TM,54
100181,G,76BT,12
100181,G,76TM,12
100182,D,76BT,21
100182,D,76TM,55
100191,G,76BT,8
100191,G,76TM,8
100192,D,76BT,25
100192,D,76TM,59
100201,G,76BT,7
100201,G,76TM,7
100202,D,76BT,26
100202,D,76TM,60
100211,G,76BT,2
100211,G,76TM,2
100212,D,76BT,31
100212,D,76TM,65
100221,G,76BT,3
100221,G,76TM,3
100222,D,76BT,30
100222,D,76TM,64
100231,D,142B,66
100231,G,146A,22
100231,D,146F,25
100231,G,146T,31
100231,D,147,57
100231,G,76A,14
100231,G,76E,36
100231,G,76T,10
100231,G,76V,26
100231,G,E-57,27
100231,G,E-58,27
100231,G,MK14,26
100231,G,MK15,31
100231,G,MR51,43
100231,G,VİP,8
100232,G,142B,14
100232,D,142E,23
100232,D,146A,30
100232,G,146BA,53
100232,G,146F,52
100232,D,146T,35
100232,G,147,17
100232,D,76E,20
100232,D,76V,44
100232,D,E-57,18
100232,D,E-58,8
100232,D,HS2,27
100232,D,MK14,22
100232,D,MK15,22
100232,D,MR51,21
100241,D,142B,65
100241,G,146A,21
100241,D,146F,24
100241,G,146T,30
100241,D,147,56
100241,G,76A,13
100241,G,76E,35
100241,G,76T,9
100241,G,76V,25
100241,G,E-57,26
100241,G,E-58,26
100241,G,İST-15,4
100241,G,MK14,25
100241,G,MK15,30
100241,G,MR51,42
100241,G,VİP,7
100242,G,142B,15
100242,D,142E,24
100242,D,146A,31
100242,G,146BA,54
100242,G,146F,53
100242,D,146T,36
100242,G,147,18
100242,D,76A,35
100242,D,76E,21
100242,D,76T,19
100242,D,76V,45
100242,D,E-57,19
100242,D,E-58,9
100242,D,HS2,28
100242,D,İST-15,2
100242,D,MK14,23
100242,D,MK15,23
100242,D,MR51,22
100251,D,147,66
100252,G,147,8
100271,D,144B,6
100271,G,400A,5
100272,G,144B,43
100272,D,400A,30
100281,D,144B,7
100281,G,400A,6
100282,G,144B,42
100282,D,400A,29
100291,D,144B,11
100291,G,145M,5
100291,G,400A,10
100291,G,76GM,26
100292,G,144B,38
100292,D,145M,40
100292,D,400A,25
100292,D,76GM,6
100301,D,144B,13
100301,G,400A,12
100302,G,144B,36
100302,D,400A,23
100311,D,144B,14
100311,G,400A,13
100312,G,144B,35
100312,D,400A,22
100321,D,144B,15
100321,G,400A,14
100322,G,144B,34
100322,D,400A,21
100332,G,144B,33
100332,D,400A,20
100341,D,300,17
100341,D,300G,37
100341,G,303,16
100341,G,303A,17
100341,G,303B,30
100341,G,303C,30
100342,G,300,39
100342,G,300G,39
100342,D,303,67
100342,D,303A,56
100342,D,303B,29
100342,D,303C,56
100351,D,300,28
100351,D,300G,48
100351,G,303,27
100351,G,303A,28
100351,G,303B,41
100351,G,303C,41
100352,G,300,29
100352,G,300G,29
100352,D,303,57
100352,D,303A,46
100352,D,303B,19
100352,D,303C,46
100361,D,300,38
100361,D,300G,58
100361,G,303,37
100361,G,303A,38
100361,G,303C,51
100371,D,300,41
100371,D,300G,61
100371,G,303,40
100371,G,303A,41
100371,G,303C,54
100372,G,300,15
100372,G,300G,15
100372,D,303,43
100372,D,303A,32
100372,D,303C,32
100381,D,300,42
100381,D,300G,62
100381,G,303,41
100381,G,303A,42
100381,G,303C,55
100382,G,300,14
100382,G,300G,14
100382,D,303,42
100382,D,303A,31
100382,D,303C,31
100391,D,142B,14
100391,G,142B,61
100401,G,142B,65
100401,G,76BA,7
100401,G,76C,7
100411,G,143,48
100411,G,146E,30
100411,G,146K,30
100411,D,146M,12
100411,D,98KM,35
100411,D,MK31,22
100412,D,146E,17
100412,D,146K,21
100412,G,146M,28
100412,G,98KM,26
100412,G,MK31,39
100421,G,33B,15
100421,G,36CY,31
100421,G,55Y,45
100421,G,85T,9
100421,D,92M,13
100421,G,98G,24
100421,D,MK51,5
100421,G,MK51,24
100422,D,33B,42
100422,G,33E,17
100422,D,36CY,27
100422,G,92M,23
100422,D,98G,28
100431,D,36AY,19
100431,G,36AY,31
100431,D,79C,40
100431,G,MK11,23
100432,G,79C,20
100432,G,MK12,24
100441,G,36AY,32
100441,D,79C,41
100441,G,MK11,24
100442,D,36AY,18
100442,G,79C,19
100442,G,MK12,23
100451,G,36AY,33
100452,D,36AY,17
100491,G,145,24
100491,G,458,47
100491,G,76SM,23
100491,G,76Y,24
100501,G,145,25
100501,G,76Y,25
100502,D,145,13
100502,D,76Y,40
100511,G,142K,17
100512,D,142K,6
100521,G,142K,20
100522,D,142K,3
100531,G,145,5
100531,G,458,35
100531,G,76SM,3
100531,G,76Y,5
100531,G,BM4,12
100532,D,145,32
100532,D,458,29
100532,D,76SM,25
100532,D,76Y,58
100532,D,BM4,40
100541,G,145,6
100541,G,458,36
100541,G,76SM,4
100541,G,76Y,6
100541,G,BM4,13
100542,D,145,31
100542,D,458,28
100542,D,76SM,24
100542,D,76Y,57
100542,D,BM4,39
100551,G,142K,16
100552,D,142K,7
100561,D,144B,27
100561,D,144H,20
100561,G,HT18,40
100562,G,144B,20
100562,G,144H,18
100562,D,418,28
100562,G,418,39
100562,D,HT18,13
100581,D,76SM,12
100581,G,76SM,16
100591,D,76SM,13
100592,G,76SM,15
100601,G,76SM,14
100602,D,76SM,14
100611,D,76SM,15
100611,G,76SM,13
100641,D,76BT,32
100641,G,76BT,1
100641,D,76TM,66
100641,G,76TM,1
100651,G,144B,24
100651,G,418,43
100651,D,ES2,10
100651,G,HT18,44
100652,G,ES2,30
100652,D,HT18,9
100661,D,143,2
100661,G,143,59
100661,G,146B,29
100661,G,146K,40
100661,D,146M,24
100661,G,31Y,15
100661,G,76O,51
100661,G,78,30
100661,G,78FB,40
100661,G,78M,40
100661,G,89F,34
100661,G,98M,2
100671,G,401T,4
100671,G,76BT,18
100671,G,76TM,18
100671,G,HT48,4
100672,D,401T,45
100672,D,76BT,15
100672,D,76TM,49
100672,D,HT48,52
100681,G,76BT,9
100681,G,76TM,9
100682,D,76BT,24
100682,D,76TM,58
100691,G,404,2
100692,D,404,45
100701,G,458,5
100702,D,458,58
100711,G,458,21
100711,G,76GM,20
100712,D,458,43
100712,D,76GM,12
100721,D,303B,51
100721,G,303B,1
100721,D,303C,78
100721,G,303C,1
100731,G,303B,2
100731,G,303C,2
100732,D,303B,50
100732,D,303C,77
100741,D,300G,13
100741,G,303B,6
100741,G,303C,6
100742,G,300G,64
100742,G,303B,3
100742,G,303C,3
100751,D,300G,11
100751,G,303B,4
100751,G,303C,4
100752,G,300G,65
100761,D,300G,12
100761,G,303B,5
100761,G,303C,5
100771,D,300G,16
100771,G,303B,9
100771,G,303C,9
100781,D,300G,18
100781,G,303B,11
100781,G,303C,11
100782,G,300G,59
100782,D,303B,49
100782,D,303C,76
100791,D,300G,19
100791,G,303B,12
100791,G,303C,12
100792,G,300G,58
100792,D,303B,48
100792,D,303C,75
100801,D,300G,20
100801,G,303B,13
100801,G,303C,13
100802,G,300G,57
100802,D,303B,47
100802,D,303C,74
100811,D,300G,22
100811,G,303B,15
100811,G,303C,15
100812,G,300G,55
100812,D,303B,45
100812,D,303C,72
100821,D,300,3
100821,D,300G,23
100821,G,303,2
100821,G,303A,3
100821,G,303B,16
100821,G,303C,16
100822,G,300G,54
100822,D,303B,44
100822,D,303C,71
100831,D,300,52
100831,D,300G,72
100831,G,303,51
100831,G,303A,52
100831,G,303C,65
100831,G,401,23
100831,G,401T,28
100831,G,448,31
100831,G,76BT,29
100831,G,76TM,45
100831,G,HT48,34
100841,G,144B,17
100841,G,144H,15
100841,G,418,36
100841,G,HT18,37
100861,G,448,6
100862,D,448,47
100871,G,448,9
100871,G,HT48,13
100872,D,448,44
100872,D,HT48,43
100881,G,448,11
100881,G,HT48,15
100882,D,448,42
100882,D,HT48,41
100891,G,448,15
100891,G,HT48,19
100892,D,448,38
100892,D,HT48,37
100901,G,448,24
100902,D,448,29
100911,G,448,4
100921,D,143,39
100921,G,76V,51
100921,G,79Y,44
100921,G,89BS,3
100921,G,98S,14
100921,G,BN1,16
100921,D,BN3,37
100921,G,BN3,13
100921,D,H-3,25
100921,G,H-3,4
100921,D,MK16,11
100921,G,MK16,33
100921,G,MR42,53
100922,G,143,19
100922,D,76V,21
100922,D,79Y,22
100922,D,89BS,11
100922,D,98S,26
100922,D,BN1,44
100922,G,MR42,3
100931,G,36CY,48
100931,G,92,17
100931,G,98D,17
100931,G,98Y,32
100941,G,141A,25
100941,G,89,27
100941,G,89T,27
100941,G,98T,27
100942,D,141A,18
100942,D,89,44
100942,D,89T,52
100942,D,98T,28
